0.33 more 
0.65 idle 
0.75 idle Be careful!  New moon tonight.
94.95 idle You see no door there.
95.33 idle You see no door there.
95.71 idle You see no door there.
96.1 idle You see no door there.
96.48 idle You see no door there.
96.86 idle You see no door there.
97.24 idle You see no door there.
97.62 idle You see no door there.
98.0 idle You see no door there.
98.38 idle You see no door there.
98.77 idle You see no door there.
99.16 idle You see no door there.
99.54 idle You see no door there.
99.92 idle You see no door there.
100.3 idle You see no door there.
100.69 idle You see no door there.
101.09 idle You see no door there.
101.49 idle You see no door there.
101.88 idle You see no door there.
102.26 idle You see no door there.
102.64 idle You see no door there.
103.03 idle You see no door there.
103.41 idle You see no door there.
103.8 idle You see no door there.
104.19 idle You see no door there.
104.58 idle You see no door there.
104.94 idle You see no door there.
105.34 idle You see no door there.
105.72 idle You see no door there.
106.11 idle You see no door there.
106.5 idle You see no door there.
106.89 idle You see no door there.
107.26 idle You see no door there.
107.64 idle You see no door there.
108.02 idle You see no door there.
108.4 idle You see no door there.
108.78 idle You see no door there.
109.16 idle You see no door there.
109.54 idle You see no door there.
109.92 idle You see no door there.
110.31 idle You see no door there.
110.7 idle You see no door there.
111.08 idle You see no door there.
111.47 idle You see no door there.
111.85 idle You see no door there.
112.23 idle You see no door there.
112.62 idle You see no door there.
113.0 idle You see no door there.
113.38 idle You see no door there.
113.77 idle You see no door there.
114.15 idle You see no door there.
114.53 idle You see no door there.
114.92 idle You see no door there.
115.3 idle You see no door there.
115.68 idle You see no door there.
116.07 idle You see no door there.
116.47 idle You see no door there.
116.86 idle You see no door there.
117.24 idle You see no door there.
117.62 idle You see no door there.
118.02 idle You see no door there.
118.41 idle You see no door there.
118.79 idle You see no door there.
119.17 idle You see no door there.
119.56 idle You see no door there.
119.94 idle You see no door there.
120.32 idle You see no door there.
120.71 idle You see no door there.
121.1 idle You see no door there.
121.48 idle You see no door there.
121.87 idle You see no door there.
122.25 idle You see no door there.
122.63 idle You see no door there.
123.01 idle You see no door there.
123.4 idle You see no door there.
123.78 idle You see no door there.
124.17 idle You see no door there.
124.55 idle You see no door there.
124.94 idle You see no door there.
125.34 idle You see no door there.
125.74 idle You see no door there.
126.13 idle You see no door there.
126.52 idle You see no door there.
126.91 idle You see no door there.
127.3 idle You see no door there.
127.68 idle You see no door there.
128.07 idle You see no door there.
128.46 idle You see no door there.
128.85 idle You see no door there.
129.23 idle You see no door there.
129.62 idle You see no door there.
130.0 idle You see no door there.
130.38 idle You see no door there.
130.77 idle You see no door there.
131.13 idle You see no door there.
131.51 idle You see no door there.
131.91 idle You see no door there.
132.29 idle You see no door there.
132.67 idle You see no door there.
133.06 idle You see no door there.
133.44 idle You see no door there.
133.84 idle You see no door there.
134.23 idle You see no door there.
134.62 idle You see no door there.
135.0 idle You see no door there.
135.41 idle You see no door there.
135.8 idle You see no door there.
136.17 idle You see no door there.
136.55 idle You see no door there.
136.93 idle You see no door there.
137.33 idle You see no door there.
137.72 idle You see no door there.
138.11 idle You see no door there.
138.51 idle You see no door there.
138.9 idle You see no door there.
139.29 idle You see no door there.
139.67 idle You see no door there.
140.05 idle You see no door there.
140.41 idle You see no door there.
140.81 idle You see no door there.
141.2 idle You see no door there.
141.6 idle You see no door there.
141.98 idle You see no door there.
142.37 idle You see no door there.
142.75 idle You see no door there.
143.13 idle You see no door there.
143.51 idle You see no door there.
143.9 idle You see no door there.
144.28 idle You see no door there.
144.67 idle You see no door there.
145.06 idle You see no door there.
145.45 idle You see no door there.
145.86 idle You see no door there.
146.24 idle You see no door there.
146.61 idle You see no door there.
147.0 idle You see no door there.
147.4 idle You see no door there.
147.78 idle You see no door there.
148.18 idle You see no door there.
148.57 idle You see no door there.
148.97 idle You see no door there.
149.34 idle You see no door there.
149.73 idle You see no door there.
150.12 idle You see no door there.
150.51 idle You see no door there.
150.9 idle You see no door there.
151.29 idle You see no door there.
151.67 idle You see no door there.
152.06 idle You see no door there.
152.44 idle You see no door there.
152.84 idle You see no door there.
153.22 idle You see no door there.
153.6 idle You see no door there.
153.99 idle You see no door there.
154.37 idle You see no door there.
154.75 idle You see no door there.
155.14 idle You see no door there.
155.53 idle You see no door there.
155.9 idle You see no door there.
156.29 idle You see no door there.
156.66 idle You see no door there.
157.05 idle You see no door there.
157.44 idle You see no door there.
157.84 idle You see no door there.
158.23 idle You see no door there.
158.61 idle You see no door there.
158.97 idle You see no door there.
159.36 idle You see no door there.
159.75 idle You see no door there.
160.13 idle You see no door there.
160.53 idle You see no door there.
160.91 idle You see no door there.
161.3 idle You see no door there.
161.68 idle You see no door there.
162.07 idle You see no door there.
162.46 idle You see no door there.
162.86 idle You see no door there.
163.24 idle You see no door there.
163.63 idle You see no door there.
164.02 idle You see no door there.
164.41 idle You see no door there.
164.78 idle You see no door there.
165.16 idle You see no door there.
165.54 idle You see no door there.
165.93 idle You see no door there.
166.31 idle You see no door there.
166.69 idle You see no door there.
167.08 idle You see no door there.
167.46 idle You see no door there.
167.85 idle You see no door there.
168.24 idle You see no door there.
168.63 idle You see no door there.
169.02 idle You see no door there.
169.41 idle You see no door there.
169.81 idle You see no door there.
170.17 idle You see no door there.
170.57 idle You see no door there.
170.97 idle You see no door there.
171.37 idle You see no door there.
171.75 idle You see no door there.
172.15 idle You see no door there.
172.53 idle You see no door there.
172.93 idle You see no door there.
173.32 idle You see no door there.
173.71 idle You see no door there.
174.09 idle You see no door there.
174.48 idle You see no door there.
174.86 idle You see no door there.
175.25 idle You see no door there.
175.65 idle You see no door there.
176.03 idle You see no door there.
176.42 idle You see no door there.
176.82 idle You see no door there.
177.22 idle You see no door there.
177.6 idle You see no door there.
177.99 idle You see no door there.
178.38 idle You see no door there.
178.77 idle You see no door there.
179.13 idle You see no door there.
179.51 idle You see no door there.
179.91 idle You see no door there.
180.3 idle You see no door there.
180.68 idle You see no door there.
181.06 idle You see no door there.
181.44 idle You see no door there.
181.82 idle You see no door there.
182.2 idle You see no door there.
182.6 idle You see no door there.
182.96 idle You see no door there.
183.36 idle You see no door there.
183.75 idle You see no door there.
184.14 idle You see no door there.
184.53 idle You see no door there.
184.91 idle You see no door there.
185.3 idle You see no door there.
185.7 idle You see no door there.
186.09 idle You see no door there.
186.47 idle You see no door there.
186.85 idle You see no door there.
187.25 idle You see no door there.
187.66 idle You see no door there.
188.05 idle You see no door there.
188.43 idle You see no door there.
188.83 idle You see no door there.
189.22 idle You see no door there.
189.61 idle You see no door there.
189.98 idle You see no door there.
190.36 idle You see no door there.
190.73 idle You see no door there.
191.12 idle You see no door there.
191.49 idle You see no door there.
191.88 idle You see no door there.
192.27 idle You see no door there.
192.66 idle You see no door there.
193.03 idle You see no door there.
193.41 idle You see no door there.
193.82 idle You see no door there.
194.21 idle You see no door there.
194.6 idle You see no door there.
194.99 idle You see no door there.
195.38 idle You see no door there.
195.77 idle You see no door there.
196.15 idle You see no door there.
196.53 idle You see no door there.
196.89 idle You see no door there.
197.29 idle You see no door there.
197.68 idle You see no door there.
198.07 idle You see no door there.
198.46 idle You see no door there.
198.84 idle You see no door there.
199.23 idle You see no door there.
199.61 idle You see no door there.
200.01 idle You see no door there.
200.4 idle You see no door there.
200.78 idle You see no door there.
201.17 idle You see no door there.
201.57 idle You see no door there.
201.93 idle You see no door there.
202.34 idle You see no door there.
202.7 idle You see no door there.
203.09 idle You see no door there.
203.48 idle You see no door there.
203.86 idle You see no door there.
204.26 idle You see no door there.
204.66 idle You see no door there.
205.05 idle You see no door there.
205.44 idle You see no door there.
205.83 idle You see no door there.
206.21 idle You see no door there.
206.59 idle You see no door there.
206.97 idle You see no door there.
207.35 idle You see no door there.
207.73 idle You see no door there.
208.1 idle You see no door there.
208.48 idle You see no door there.
208.86 idle You see no door there.
209.25 idle You see no door there.
209.63 idle You see no door there.
210.01 idle You see no door there.
210.38 idle You see no door there.
210.76 idle You see no door there.
211.15 idle You see no door there.
211.54 idle You see no door there.
211.92 idle You see no door there.
212.3 idle You see no door there.
212.67 idle You see no door there.
213.05 idle You see no door there.
213.43 idle You see no door there.
213.81 idle You see no door there.
214.2 idle You see no door there.
214.58 idle You see no door there.
214.97 idle You see no door there.
215.36 idle You see no door there.
215.75 idle You see no door there.
216.13 idle You see no door there.
216.52 idle You see no door there.
216.9 idle You see no door there.
217.28 idle You see no door there.
217.67 idle You see no door there.
218.05 idle You see no door there.
218.43 idle You see no door there.
218.82 idle You see no door there.
219.21 idle You see no door there.
219.59 idle You see no door there.
219.97 idle You see no door there.
220.35 idle You see no door there.
220.73 idle You see no door there.
221.11 idle You see no door there.
221.49 idle You see no door there.
221.88 idle You see no door there.
222.26 idle You see no door there.
222.64 idle You see no door there.
223.02 idle You see no door there.
223.4 idle You see no door there.
223.78 idle You see no door there.
224.16 idle You see no door there.
224.55 idle You see no door there.
224.93 idle You see no door there.
225.32 idle You see no door there.
225.7 idle You see no door there.
226.08 idle You see no door there.
226.46 idle You see no door there.
226.84 idle You see no door there.
227.22 idle You see no door there.
227.6 idle You see no door there.
227.98 idle You see no door there.
228.35 idle You see no door there.
228.73 idle You see no door there.
229.1 idle You see no door there.
229.5 idle You see no door there.
229.88 idle You see no door there.
230.27 idle You see no door there.
230.65 idle You see no door there.
231.03 idle You see no door there.
231.41 idle You see no door there.
231.8 idle You see no door there.
232.18 idle You see no door there.
232.56 idle You see no door there.
232.94 idle You see no door there.
233.33 idle You see no door there.
233.71 idle You see no door there.
234.09 idle You see no door there.
234.48 idle You see no door there.
234.87 idle You see no door there.
235.26 idle You see no door there.
235.64 idle You see no door there.
236.03 idle You see no door there.
236.41 idle You see no door there.
236.79 idle You see no door there.
237.18 idle You see no door there.
237.57 idle You see no door there.
237.95 idle You see no door there.
238.33 idle You see no door there.
238.7 idle You see no door there.
239.08 idle You see no door there.
239.46 idle You see no door there.
239.85 idle You see no door there.
